ID	Name
DFT-1102	Decode data from image from unmanaged NAND	
DFT-1103	Virtualise suspect system for previewing	
DFT-1104	Collect data using open source intelligence	
DFT-1105	Memory examination (application-level)	
DFT-1106	Deep fake detection (video)	
DFT-1107	Health/Fitness app examination	
DFT-1108	Reminders app examination	
DFT-1109	Payment app examination	
DFT-1110	Preserving reference data	
DFT-1111	Recording system clock offset	
DFT-1112	Physical disk identification and removal	
DFT-1113	Access internal storage via bootable environment	
DFT-1114	Memory Acquisition via Cold Boot Attack	
DFT-1115	Visualisation of geolocation information	
DFT-1116	Determine connected devices	
DFT-1117	Time-based event reconstruction	
DFT-1118	Locate relevant files by path	
DFT-1119	Automatically scan for artifact changes caused by app updates	
DFT-1120	Automated artifact extraction from app data	
DFT-1121	Keyword indexing	
DFT-1122	Keyword search (case-type wordlists)	
DFT-1123	Keyword search (case-specific wordlists)	
DFT-1124	Keyword search (indexed)	
DFT-1125	Keyword search (live)	
DFT-1126	Keyword search (live) (physical)	
DFT-1127	Keyword search (live) (logical)	
DFT-1128	Search for indicators of malware	
DFT-1129	Search for indicators of clock tampering	
DFT-1130	Search for indicators of encrypted data	
DFT-1131	Search for indicators of trail obfuscation	
DFT-1132	Search for indicators of artifact wiping	
DFT-1133	AI companion app examination	
DFT-1134	Use time anchors to estimate clock offset	
DFT-1137	Browser history examination	
DFT-1138	Browser cache examination	
DFT-1139	Browser session examination	
DFT-1140	Browser autofill examination	
DFT-1141	Browser bookmarks examination	
DFT-1142	Browser downloads examination	
DFT-1143	Browser configuration examination	
DFT-1144	Browser profile enumeration	
DFT-1145	Browser extensions examination	
DFT-1146	Browser synchronization feature examination	
DFT-1147	Browser cookie examination	
DFT-1148	Browser web storage examination	
DFT-1149	File versioning feature examination	
DFT-1150	Recover non-allocated files using residual file metadata	
DFT-1151	Keyword search (over extracted artifacts)	
DFT-1153	Apply offset to a timestamp	
DFT-1154	Identity-based event reconstruction	
DFT-1155	Operation-based event reconstruction	
DFT-1156	Functional-based event reconstruction	
DFT-1157	Extract device data using exposed service	
DFT-1158	Configure device to enable a service needed for data extraction	
DFT-1159	Extract mobile data via deployed agent	
DFT-1160	Collect data with 'cloud backup restore' approach	
DFT-1162	Read data from a device via In-System Programming (ISP)	
DFT-1163	Automated screenshot-based capture of a mobile device	
DFT-1164	Direct data read from a block device	
DFT-1166	Connect directly to storage media	
DFT-1167	Extract search terms from URLs	
DFT-1168	Identify volumes	
DFT-1169	Filter files related to an application	
DFT-1170	Decode forensic image format (logical)	
DFT-1171	Access file system via live operating system	
DFT-1172	Access raw image content	
DFT-1173	Extract data from captured screenshots	
DFT-1174	Read evidential files stored directly on local file system	
DFT-1175	Extract data using content queries	
