ID	Name	Description	Synonyms
DFT-1043	Access forensic image content (bitstream)	The decoding of a forensic format such as EWF such that the raw sectors can be accessed by a forensic tool (typically performed on-the-fly internally in a tool.)	['Read forensic format', 'Read forensic image']
DFT-1044	Mobile backup decoding	Processing an extracted mobile device backup to access the files contained within.	[]
DFT-1045	Decode standard archive format	Extract files from a common archive format e.g. TAR, RAR, ZIP	[]
DFT-1046	Privileged material protection		[]
DFT-1047	Hash matching (reduce)		[]
DFT-1048	Privacy protection via partial processing	Limiting the scope of file processing based on type, date or other criteria to protect privacy.	[]
DFT-1049	Keyword searching	This technique involves searching data in the case for specific strings	['string search']
DFT-1050	Hash matching (locate)		[]
DFT-1051	Fuzzy hash matching		[]
DFT-1052	Timeline generation	The extraction and normalisation of timestamps from a data source into a set of timeline entries	['timelining']
DFT-1053	Entity extraction		[]
DFT-1054	Manual content review for relevant material	Manual examination of files or artifacts to determine their relevance to the investigation.	[]
DFT-1055	File system content inspection		[]
DFT-1056	Entity connection enumeration		[]
DFT-1057	Search for indicators of steganography	Searching for the presence of current or historical steganography software on a system	[]
DFT-1058	Search for mismatched file extensions	Checking the content of a file against its file extension to identify mismatches.	[]
DFT-1059	Identify partitions	Partitions are defined as ‘allocated contiguous sets of sectors from storage media’. This involves recovering the list of partitions that exist on a storage media.	['media management analysis']
DFT-1060	Enumerate allocated files and folders	This involves parsing the live file system data structures and reconstructing the file system of the target media or device.	['file system parsing']
DFT-1061	Recover non-allocated files	The recovery of files from non-allocated space	['Deleted file recovery', 'Deleted data recovery']
DFT-1062	Decryption of encrypted file systems/volumes	The process of decrypting an encrypted file system/volume to make its contents accessible for analysis.	[]
DFT-1063	Identify file types	Applying a process that identifies the types of files.	[]
DFT-1064	File carving	The process of recovering files from non-allocated space using only the structural properties of files.	[]
DFT-1065	Content indexer examination (OS)	Examine information from operating system artifacts relating to content indexing and search capabilities e.g. Windows Desktop Search	[]
DFT-1066	Log file examination (OS)		[]
DFT-1067	Cloud synchronisation feature examination (OS)		[]
DFT-1068	Recently used file identification (OS)	The process of examining operating system files to extract artifacts that may indicate file accesses.	[]
DFT-1069	Browser examination	Recovery of information left from web browsing activity (derived from Oh et al (2011))	[]
DFT-1070	Email examination		[]
DFT-1071	SQLite database examination	Examination of a SQLite database file(s) to extract information from within.	['database forensics']
DFT-1072	Chat app examination	Analysis of the files that provide the backing store for a chat or messenger application	['Messenger app analysis']
DFT-1073	Calendar app examination		[]
DFT-1074	Social network app examination		[]
DFT-1075	Maps/travel app examination		[]
DFT-1076	Log file examination	Examination of a file that was designed for incremental logging from a piece of software (e.g. an application or operating system feature)	[]
DFT-1077	Photos app examination		[]
DFT-1078	Cloud sync app examination		[]
DFT-1079	Audio content analysis		[]
DFT-1080	Video content analysis		[]
DFT-1081	Image content analysis		[]
DFT-1082	Document content analysis		[]
DFT-1083	Memory examination (OS-level)		[]
DFT-1084	Extraction of user accounts		[]
DFT-1085	Identify conflation		[]
DFT-1086	Timeline analysis	The process of searching, filtering, sorting, highlighting, or aggregating timeline entries to determine which are relevant for event reconstruction, or to identify times of interest (adapted from Breitinger et al. 2025)	['Temporal Analysis']
DFT-1087	Location-based event reconstruction	The process of assigning location properties to a reconstructed event	[]
DFT-1088	Relational-based event reconstruction	The process of determining the existence and nature of relationships between entities during event reconstruction	['Relational analysis', 'Connection-based event reconstruction']
DFT-1089	Source code review		[]
DFT-1090	Experimentation		[]
DFT-1091	Bookmark artifacts	Make a record of selected files or pieces of data so they can be accessed easily, or used for generating automated reports.	['Bookmarking', 'Tagging']
DFT-1092	Produce tag-based automated report	Generate a report in PDF, HTML or other format that compiles tagged (or bookmarked) items from a case into a package that can be reviewed.	['Produce bookmark-based automated report']
DFT-1093	Write expert report		[]
DFT-1094	Disclosure		[]
DFT-1095	Instrumentation		[]
DFT-1096	Run programs identification (OS)	The process of examining operating system files to extract artifacts that may indicate a program has been run.	[]
DFT-1097	Installed programs identification (OS)	Extraction and analysis of information that allows programs installed on an OS to be identified.	[]
DFT-1098	User account analysis (OS)	Examination of information related to user account creation and logins	[]
DFT-1099	File repair with grafting	Repair file by grafting different reference data onto fragment(s)	[]
DFT-1100	EXIF data extraction		[]
DFT-1101	Cell site survey	Taking measurements to assess which cells actually provide service at a specific location (adapted from Tart et al 2012).	[]
DFT-1102	Decode data from image from unmanaged NAND		[]
DFT-1103	Virtualise suspect system for previewing	A suspect disk image can be configured to boot as a virtual machine, which allows screenshots to be taken showing how the user's desktop looked for example.	[]
DFT-1104	Collect data using open source intelligence		[]
DFT-1105	Memory examination (application-level)		[]
DFT-1106	Deep fake detection (video)		[]
DFT-1107	Health/Fitness app examination		[]
DFT-1108	Reminders app examination		[]
DFT-1109	Payment app examination		[]
DFT-1110	Preserving reference data		[]
DFT-1111	Recording system clock offset	Recording a system clock compared with trusted time source	[]
DFT-1112	Physical disk identification and removal	Identifying physical storage media within devices and removing them	[]
DFT-1113	Access internal storage via bootable environment	Booting the suspected computer device into forensically-sound bootable software-write blocked operating system in order to image the disks.	[]
DFT-1114	Memory Acquisition via Cold Boot Attack	Extracting volatile memory (RAM) from a powered-off system by quickly rebooting or transferring the memory module to another system before residual data fades. Cooling the memory modules can significantly slow down data decay, preserving critical data such as encryption keys or passwords.	['Cold Boot Attack', 'Extracting RAM data using Cold Boot Attack']
DFT-1115	Visualisation of geolocation information	Presenting points or paths visually using extracted data, typically on a map	[]
DFT-1116	Determine connected devices	Examine artifacts and extract indicators of devices that have been connected to the target device.	[]
DFT-1117	Time-based event reconstruction	The process of assigning a time component to a reconstructed event	['Temporal-based event reconstruction']
DFT-1118	Locate relevant files by path	Use the path of file name to determine potential relevance of artefact	[]
DFT-1119	Automatically scan for artifact changes caused by app updates	Monitor every version change of an application to determine if there are changes to the way the app stores data	['App update monitoring']
DFT-1120	Automated artifact extraction from app data	The use of automation to extract pieces of data that are potentially useful for a digital forensic investigation from app data.	['Automated trace extraction']
DFT-1121	Keyword indexing	Extracting strings from a data source and adding them to an index for subsequent searching	[]
DFT-1122	Keyword search (case-type wordlists)	Searching for case-type specific keywords	[]
DFT-1123	Keyword search (case-specific wordlists)	Searching for case-specific keywords, e.g. people's names, places etc.	[]
DFT-1124	Keyword search (indexed)	Searching for keywords within a generated index of data in a case	['indexed search']
DFT-1125	Keyword search (live)	Searching for keywords over the raw data in a case without using an index of text content	['live search']
DFT-1126	Keyword search (live) (physical)	Searching for keywords over the raw data on a sector by sector basis	['live search']
DFT-1127	Keyword search (live) (logical)	Searching for keywords over the raw data, without an index of text content, but on a file by file basis	['live search']
DFT-1128	Search for indicators of malware	Searching for the presence of current or historical malware on a system	['virus scan', 'malware scan']
DFT-1129	Search for indicators of clock tampering	Searching for indicators that the system clock has been tampered with	[]
DFT-1130	Search for indicators of encrypted data	Searching for the presence of current or historical encrypted data on a system	[]
DFT-1131	Search for indicators of trail obfuscation	Searching for the presence of current or historical trail obfuscation on a system	[]
DFT-1132	Search for indicators of artifact wiping	Searching for the presence of current or historical artifact wiping	['artifact scrubbing']
DFT-1133	AI companion app examination	The forensic examination of the artifacts describing the configuration or the interaction with an AI companion app or service.	[]
DFT-1134	Use time anchors to estimate clock offset	Correlate timestamps from the system clock and an external trusted time source (Time Anchoring)	['Timestamp correlation', 'Time anchoring (Vanini et al 2024)']
DFT-1137	Browser history examination	The examination of the history component of a web browser.	['web history examination', 'internet history examination']
DFT-1138	Browser cache examination	The examination of the content saved locally by browsers to improve performance	['web cache examination', 'internet cache examination']
DFT-1139	Browser session examination	The examination of sessions and open tabs and their individual histories	[]
DFT-1140	Browser autofill examination	The examination of data that is stored to autocomplete entries in forms	[]
DFT-1141	Browser bookmarks examination	The examination of the links saved within a browser to facilitate quick access	[]
DFT-1142	Browser downloads examination	The examination of records of files downloaded with a browser	[]
DFT-1143	Browser configuration examination	The examination of a browsers configuration	[]
DFT-1144	Browser profile enumeration	The enumeration of the separate user profiles set up within a browser	[]
DFT-1145	Browser extensions examination	The examination of the extensions installed within a browser	[]
DFT-1146	Browser synchronization feature examination	The examination of the settings and artifacts resulting from a browser synchronization feature	[]
DFT-1147	Browser cookie examination	The examination of stored browser cookies	[]
DFT-1148	Browser web storage examination	The examination of 	['browser storage examination', 'web storage examination', 'HTML5 storage examination', 'local storage examination']
DFT-1149	File versioning feature examination	Extraction of data from the versioning system used by an operating system to store older versions of files.	['shadow copy examination', 'previous versions', "macOS 'Versions' examination", "'Revert to...' feature examination"]
DFT-1150	Recover non-allocated files using residual file metadata	Use metadata that remains in the file system to recover non-allocated files	[]
DFT-1151	Keyword search (over extracted artifacts)	Keyword searching only applied over extracted artifacts	['search artifacts only']
DFT-1153	Apply offset to a timestamp	Application of a time offset to a timestamp	[]
DFT-1154	Identity-based event reconstruction	The process of attempting to link an identity (account, person etc.) to a reconstructed event	['Resolving the person-device gap', 'Resolving the person-account gap,']
DFT-1155	Operation-based event reconstruction	The process of reconstructing that an operation occurred on a digital system	['Activity-based event reconstruction', 'Action-based event reconstruction']
DFT-1156	Functional-based event reconstruction	Reconstructing the configuration or capabilities of a system at the time of an event	[]
DFT-1157	Extract device data using exposed service	Use an exposed service on a device to extract data. This represents several of the mobile data extraction methods e.g. Query content providers (android), AFC (iOS).	[]
DFT-1158	Configure device to enable a service needed for data extraction	Change a setting on a device such that a service needed for data extraction is enabled. This may require a user PIN that can be obtained using other techniques.	[]
DFT-1159	Extract mobile data via deployed agent	Deploy software to a mobile device that can carry out some function, either collect data with available permissions or attempt further exploitation e.g. sandbox escape.	[]
DFT-1160	Collect data with 'cloud backup restore' approach	Restore a device's cloud backup to a donor device, then subsequently use a local acquisition approach on that donor device, e.g. T1019/T1020	[]
DFT-1162	Read data from a device via In-System Programming (ISP)		['ISCP', 'In-circuit serial Programming']
DFT-1163	Automated screenshot-based capture of a mobile device	Programmatically controlling a mobile device while capturing screenshots of the display.	[]
DFT-1164	Direct data read from a block device	Rather than imaging a block device, this involves accessing it directly without the expectation of saving block data to a forensic image format.	[]
DFT-1166	Connect directly to storage media	This technique describes the occasions where it is necessary to connect directly to a disk without a hardware write blocker. This would typically then involve a subseqeunt software write blocker, which then presents a write protected interface.	[]
DFT-1167	Extract search terms from URLs	Parsing a URL and extracting search terms from the parameters.	[]
DFT-1168	Identify volumes	From a partition or data from a full disk, identify volumes and extract file systems.	[]
DFT-1169	Filter files related to an application	This technique takes a set of files and determines which are related to a specified application.	[]
DFT-1170	Decode forensic image format (logical)	Decodes logical image formats such as L01, AD1, CTR, or AFF4-L. The output here is not an image file but rather a set of files and their metadata.	['Logical image decoding', 'Read logical image']
DFT-1171	Access file system via live operating system	This involves accessing a live system and relying on the operating system's parsing of the file system to access files.	[]
DFT-1172	Access raw image content	This technique reads data from a raw image e.g. a dd image.	['read dd file']
DFT-1173	Extract data from captured screenshots	Processing a screenshot captured from a device to extract data for further processing.	[]
DFT-1174	Read evidential files stored directly on local file system	Represents reading files that have been acquired or extracted directly to the local file system.	[]
DFT-1175	Extract data using content queries	Use of content queries on Android devices via adb to extract specific pieces of data exposed by content providers.	[]
