ID	Name	INCOMP	INAC-EX	INAC-AS	INAC-ALT	INAC-COR	MISINT
DFW-1061	An irrelevant piece of media was flagged as relevant			X			
DFW-1062	The grade or specific tag given to item is incorrect			X			
DFW-1063	Incorrectly parsing the partitions table(s)	X	X				
DFW-1064	Making incorrect assumptions about sector size e.g. 512 rather than 4096	X					
DFW-1065	Failing to correctly parse start sector pointers from partition tables	X	X				
DFW-1066	Missing deleted but recoverable partitions from unpartitioned space	X					
DFW-1067	Failure to check the integrity of partition table (where possible e.g. GPT)					X	
DFW-1068	Failing to identify the existence of a live file	X					
DFW-1069	Failing to identify the existence of a live directory	X					
DFW-1070	Failing to recover the complete contents of a live file	X					
DFW-1071	Failing to recover a complete listing of a live directory	X					
DFW-1072	Recovering incorrect contents of a live file				X		
DFW-1073	Recovering an incorrect listing of a live directory				X		
DFW-1074	Attributing a file to the wrong directory			X			
DFW-1075	Presenting a file that does not exist		X				
DFW-1076	Presenting a directory that does not exist		X				
DFW-1077	Presenting a deleted file as a live file			X			X
DFW-1078	Presenting a live file as deleted			X			X
DFW-1079	Recovering incorrect metadata about a file				X		
DFW-1080	Recovering incorrect metadata about a directory				X		
DFW-1081	Failing to recover file system metadata	X					
DFW-1082	Recovering file system metadata incorrectly				X		
DFW-1083	Failure to recover additional specialised file system specific content e.g. Alternate Data Streams	X					
DFW-1084	Failure to correctly recover specialised file system specific content e.g. Alternate Data Streams				X		
DFW-1085	Missing messages from the live set of messages	X					
DFW-1086	Failing to recover deleted but recoverable messages	X					
DFW-1087	Presenting a live message that did not exist		X				
DFW-1088	Presenting a deleted message that did not exist		X				
DFW-1089	Recovering a live message with incorrect content				X		
DFW-1090	Recovering a live message with incorrect metadata				X		
DFW-1091	Recovering a deleted message with incorrect content				X		
DFW-1092	Recovering a deleted message with incorrect metadata				X		
DFW-1093	Presenting a deleted message as live			X			X
DFW-1094	Attributing a message to the incorrect sender			X			
DFW-1095	Attributing a message to the incorrect thread			X			
DFW-1096	Failing to recover attachments for a live message	X					
DFW-1097	Failing to recover attachment for a deleted message	X					
DFW-1098	Assigning incorrect metadata to a message attachment			X			
DFW-1099	Assigning an attachment to an incorrect messages			X			
DFW-1100	Failure to display special effects or highlight within a message	X					
DFW-1101	Failure to recover message edits if available	X					
DFW-1102	Failure to display that a message had a previous state	X					X
DFW-1103	Failure to carve salvageable content	X					
DFW-1104	Incorrect carving of a complete file				X	X	
DFW-1105	Incorrect reassembly of a file				X	X	
DFW-1106	Incorrect attribution of salvaged content to a current file system rather than a previous one			X			X
DFW-1107	Failure to repair a content fragment	X				X	
DFW-1108	Failure to recover history resulting from private browsing	X					
DFW-1109	Incorrect recovery of information regarding a web visit from allocated data			X	X		X
DFW-1110	Failure to recover browser history from live data	X					
DFW-1111	Incorrect recovery of information regarding a web visit from non-allocated data			X	X		X
DFW-1112	Failure to recover browser history from non-allocated data	X					
DFW-1113	Misinterpretation a URL located on disk/memory as a web visit			X			X
DFW-1114	Failure to locate a relevant device at a physical crime scene	X					
DFW-1115	Device is remote wiped because faraday environment was insufficient.	X				X	
DFW-1116	Last wifi connection is overwritten because faraday environment was insufficient.	X				X	
DFW-1117	Calls, messages or other data was received and overwrote relevant data because faraday environment was insufficient.	X				X	
DFW-1118	Hardware write blocker fails to prevent modifications to the attached device.					X	
DFW-1119	Hardware write blocker hides the existence of an HPA.	X					
DFW-1120	Hardware write blocker hides the existence of an DCO.	X					
DFW-1121	Image format parsing fails to to present all blocks from within a forensic container image in their ‘flat’ (dd) representation	X					
DFW-1122	Image format parsing presents incorrect data within sectors of the image				X		
DFW-1123	Image format parsing presents incorrect forensic image metadata				X		
DFW-1124	Failure to compute hash of source device correctly during disk image verification			X		X	
DFW-1125	Failure to validate hash properly during disk image verification			X		X	
DFW-1126	Failure to validate hash properly allowing an incomplete disk image to present as validated	X					
DFW-1127	Failure to validate disk image metadata					X	
DFW-1128	Disk image has been replaced with tampered version along with updated stored hash					X	
DFW-1129	File type is incorrectly identified			X			
DFW-1130	Missing assignment of a file type: reporting a file as unknown when it has a known type within the digital forensic science body of knowledge 			X			
DFW-1131	Missing recognition of multiple file types: reporting a file as a limited set of types, or a single type, when it can be interpreted as having more than one, such as a GIF and Java Jar	X		X			
DFW-1132	Incorrectly computing the hash of one or more files within a disk image due to incorrect hash algorithm implementation			X	X		
DFW-1133	Tool fails to express uncertainty in the classification of file recovery results, e.g., where content may be partly overwritten.						X
DFW-1134	Recovered (non-allocated) file content has been overwritten by the content of a newer, but also non-allocated file (which has residual file system information) but this is not detected 			X			X
DFW-1135	Recovered (non-allocated) file content has been overwritten by the content of a newer live file but this is not detected 			X			X
DFW-1136	Not recovering data from a failed hard drive	x					
DFW-1137	Failing to determine password as it is not in the dictionary used	X					
DFW-1138	Failing to identify password in the time available	X					
DFW-1139	System locks after X failed dictionary attempts				X	X	
DFW-1140	Failing to determine password as it is not in the search space	X					
DFW-1141	Failing to determine password via brute force in the time available	X					
DFW-1142	System locks after X failed brute force attempts				X	X	
DFW-1143	Data is not read from remapped sectors e.g. G-Lists during the acquisition process	x					
DFW-1144	Failure to identify timestamps in a data source	x					
DFW-1145	Failure to extract timestamps from a data source	x					
DFW-1146	Failure to consider non-timestamp based timing information	x					
DFW-1147	Failure to normalise timestamps correctly during timeline generation		x		x		
DFW-1148	Timestamp used is an inaccurate representation of the real world time due to inaccurate system clock		x				
DFW-1149	Failure to consider timestamp inaccuracy at time of inferred event	x	x	x			x
DFW-1150	Misinterpreting events from automated processes as user generated ones		x				x
DFW-1151	Incorrectly decoding a timestamp from a data source				x		
DFW-1152	Generated report does not include all bookmarks	x					
DFW-1153	Report generated from bookmarks does not render all content (e.g. previews, string extracts) correctly	x			x		
DFW-1154	Report generated from bookmarks stored in manner that does not prevent tampering or corruption					x	
DFW-1155	Bookmark added by examiner is not recorded	x					
DFW-1156	Bookmark added by examiner is is recorded with incorrect tag/label/category			x			
DFW-1157	Use of mobile exploit changes/overwrites data that was relevant to the investigation	X			X		
DFW-1158	Use of mobile exploit renders device unusable or 'bricked'	X					
DFW-1159	Presenting a mobile file system acquisition as a bitwise copy of the device						X
DFW-1160	Failure to copy relevant files from the mobile device	X					
DFW-1161	Lack of privileges for file system acquisition	X					
DFW-1162	Changing relevant files during file system acquisition	X			X		
DFW-1163	Changing relevant file metadata during file system acquisition	X			X		
DFW-1164	Files are still encrypted using file-based encryption so inaccessible	X					
DFW-1165	Failure to preserve original timestamps from the data source in an archive	X			X		X
DFW-1166	Consideration of live database content only	X					
DFW-1167	Combining data from multiple tables that should not be joined			X	X		X
DFW-1168	Data extracted from a table is assigned an incorrect interpretation				X		X
DFW-1169	Reliance on a field for historical reconstruction that is subject to updates and preserves only a single value			X	X		X
DFW-1170	Failure to recover data stored in Write Ahead Log (WAL) files	X					
DFW-1171	Failure to recover data stored in database journal files	X					
DFW-1172	Relevant reference data missed as its necessity was not known at time of preservation	X	X	X			
DFW-1173	Trusted time source is incorrect				X		
DFW-1174	Failure to find internal attached storage media	X					
DFW-1175	Failure to find internal unattached storage media	X					
DFW-1176	Unable to physically remove/detach internal storage media	X					
DFW-1177	Failing to boot from intended forensic bootable environment, causing the normal system boot process to commence				X	X	
DFW-1178	Inability to load the forensic bootable environment due to system configuration	X					
DFW-1179	Failure to detect internal disk from bootable environment	X					
DFW-1180	Failing to decrypt internal disk using the bootable environment	X					
DFW-1182	Bootable environment overwrites relevant data on the target device	X				X	
DFW-1183	Failure to identify the existence of a connected device	X					
DFW-1184	Presenting devices 'seen' as devices connected		X	X			X
DFW-1185	Failure to enumerate all files in a standard archive format	X					
DFW-1186	Missing files with file name/path-based pattern matching due to renaming	X					
DFW-1187	Failure to match file name/path pattern due to mismatch of search term used and pattern match engine.	X					
DFW-1188	Failure to match file name/path pattern due to implementation error in matching engine.	X					
DFW-1189	Artifact extraction is incomplete due to app version changes.	X					
DFW-1190	Interpretation of app data is incorrect due to app version changes.						X
DFW-1191	Missing changes in app artifacts during research since app interaction is needed to cause changes	X					
DFW-1192	Relevant results not captured by the case-specific keywords used	X					
DFW-1193	Keyword results missed since relevant keyword is split over a sector or cluster boundary	X					
DFW-1194	Keyword results missed since relevant keyword is inside compressed or encoded data	X					
DFW-1195	Keyword results from a tool are associated with a file, but the result was within slack space and therefore it may not have been part of that file			X			X
DFW-1196	One or more files with relevant keyword results are missed since they are not stored as text, e.g. within an image	X					
DFW-1197	Data not indexed for keyword searching due to compression	X					
DFW-1198	Data not indexed for keyword searching due to file or content encoding	X					
DFW-1199	Excessive keyword results returned from case-specific wordlists such that careful review of all results is impractical	X					
DFW-1200	Failure to conduct iterative keyword searching due to excessive time taken per search	X					
DFW-1201	Failure to recover live messages to or from the AI companion app	x					
DFW-1202	Failure to recover deleted but recoverable messages to or from the AI companion app	x					
DFW-1203	Presenting a message from the user or AI companion app that did not exist		x				
DFW-1204	Presenting a deleted message to the AI companion app as a live one, or vice versa			x			
DFW-1205	Presenting a message to the AI chat app as from the AI companion app, or vice versa			x			
DFW-1206	Merging the contents of two deleted messages together and presenting them as a single one sent to the AI companion app					x	
DFW-1207	Failure to display a message to or from the AI companion app in the context of other messages						x
DFW-1208	Failure to recover live images sent to or from the AI companion app	x					
DFW-1209	Failure to recover deleted but recoverable images sent to or from the AI companion app	x					
DFW-1210	Presenting an image sent from the user or AI companion app that did not exist		x				
DFW-1211	Presenting a deleted image sent to the AI companion app as a live one, or vice versa			x			
DFW-1212	Presenting an image sent to the AI chat app as from the AI companion app, or vice versa			x			
DFW-1213	Failure to display an image to or from the AI companion app in the context of other messages						x
DFW-1214	Failure to recover live records of calls to or from the AI companion app	x					
DFW-1215	Failure to recover deleted but recoverable records of calls to or from the AI companion app	x					
DFW-1216	Presenting a call to or from the AI companion app that did not exist		x				
DFW-1217	Presenting a deleted call to the AI companion app as a live one, or vice versa			x			
DFW-1218	Presenting a call to the AI companion app as from the AI companion app, or vice versa			x			
DFW-1219	Failure to recover metadata associated with an interaction with the AI companion app	x					
DFW-1220	Presenting an incorrect timestamp associated with an interaction with the AI companion app						x
DFW-1221	Failure to recover account details from the AI app data	x					
DFW-1222	Presenting account details that did not exist		x				
DFW-1223	Live access to the device (for extraction) updates last access times for an account	x			x		
DFW-1224	Presenting a deleted account as live, or vice versa			x			
DFW-1225	Failure to recover relevant app settings	x					
DFW-1226	Failure to recover relevant AI bot settings	x					
DFW-1227	Associating a configured bot with the wrong account			x			
DFW-1228	Log entry missing due to incorrect parsing of logfile	x					
DFW-1229	Log entry missing due to being stored in archived copies of logs	x					
DFW-1230	Log entry missing due to rotation size or timing	x					
DFW-1231	Interpreting log entry absence as evidence of deletion rather than logging configuration					x	
DFW-1232	Failure to extract log entry timestamp	x					
DFW-1233	Failure to communicate imprecision in log entry timestamp					x	
DFW-1234	Event time presented incorrectly due to incorrect timezone handling	x	x	x			x
DFW-1235	Failure to extract log entry type	x					
DFW-1236	Incorrectly interpreting a log entry type based on a different version of the generating software or operating system			x			x
DFW-1243	Missing browser history data as it was conducted outside of configured retention period	X					
DFW-1244	Missing browser history data as it was cleared by user	X					
DFW-1245	Relying on times stored in browser history that are not representative of exact web page visit time			X			X
DFW-1246	Attribution of incorrect details (e.g. page title) to a browser web visit due to join queries used in underlying database		X	X			X
DFW-1247	Attributing saved browser bookmarks to a user but they were bundled with the browser installation			X			
DFW-1248	Missing browser downloads as the files were saved to a non-standard location	X					
DFW-1249	Missing a web browser profile as it was stored outside of the usual browser profile folders	X					
DFW-1250	Incomplete browser activity extraction due to not considering the browser cache artifacts	X					
DFW-1251	Incomplete browser activity extraction due to failure to consider multiple profiles	X					
DFW-1252	Assuming that data stored in the cache was viewed by the user			X			X
DFW-1253	Recovered (non-allocated) file content has been overwritten by the content of a newer, but also non-allocated file which does not have any residual file system information			X			X
DFW-1254	Recovered (non-allocated) file content is incorrect due to an incorrect assumption that the file was contiguous e.g. some residual file metadata exists, but not the full reassembly information		X				
DFW-1255	Recovered file content is incorrect due to incorrect parsing of file size information that records allocated but unwritten sectors (e.g. Valid Data Length (VDL)		X				
DFW-1256	Incorrect attribution of metadata to file content that was the result of 'file tunnelling'			X			X
DFW-1257	Missing content that is relevant to a keyword search but it has not been extracted as 'artifacts'	X					
DFW-1258	Failure to present uncertainty associated with automated interpretation of data into artifacts		X				X
DFW-1259	Image format parsing fails to identify or assemble split forensic images	x				x	
DFW-1260	Failure to derive clock offset due to inability to locate a suitable time anchor	x					
DFW-1261	Estimated clock offset is incorrect resulting from an inaccurate external time source when performing Time Anchoring		x				x
DFW-1262	Estimated clock offset is incorrect resulting from correlating two timestamps that were not written at the same time		x				x
DFW-1263	Estimated clock offset is incorrect resulting from misinterpretation of locally stored timestamps when performing Time Anchoring		x				x
DFW-1264	Offset applied to timestamp is incorrect due to failure to distinguish UTC stored timestamp from local timestamp		x				x
DFW-1265	Offset applied to timestamp is incorrect due to variations in time zone over the history of data source		x				
DFW-1266	Timestamp used is an inaccurate representation of the real world time due to timezone and/or daylight savings		x				
DFW-1267	Offset applied to timestamp is incorrect due to variations in clock offset over the history of data source		x				
DFW-1268	Offset applied to timestamp is incorrect due to incorrect daylight savings configuration used		x				
DFW-1269	Failure to apply time offset to a timeline entry	x	x	x			x
DFW-1270	Inability to create a device backup due to locked device	x					
DFW-1271	Inability to access required service as it is not enabled	x					
DFW-1272	Failure to preserve all relevant timestamps of files obtained using exposed services on a device	x					
DFW-1273	Failure to preserve full resolution of all relevant timestamps of files obtained using exposed services on a device	x					
DFW-1274	Inability to enable required service due to locked device	x					
DFW-1275	Failure to store data due to size limitations of archive format used	x					
DFW-1276	Relevant data is overwritten by deploying an agent to a mobile device	x					
DFW-1277	Connection over a direct media interface causes changes to the target media	x			x	x	
DFW-1278	Data copied does not include all sectors from LBA0 to LBA max due to the data copying process skipping some sectors or bytes	x					
