ID	Name
DFM-1065	Render salvaged content by reconstructing a container around fragment(s) based on detected video frame and audio sample locations and (if available) a reference video file with similar parameters.
DFM-1066	Attempt to reconstruct browser activity from other areas of disk
DFM-1067	Analyze web browser memory for web browsing activity (DFT-1105)
DFM-1068	Use digital sniffer dogs to assist in locating evidence (DFT-1006)
DFM-1069	Use a SyncTriage style approach to determine existence other synchronized devices (DFT-1007)
DFM-1070	Ensure hash algorithm(s) used are resistant to collisions through data manipulation
DFM-1071	Thorough testing of write blocker against multiple targets to ensure that writes are not possible.
DFM-1072	Regular checks for hardware write blocker firmware updates.
DFM-1073	Subscription to notifications from write blocker vendor for firmware updates or identified problems.
DFM-1074	Validate image hash against one stored externally to the image in a trusted location.
DFM-1075	Testing programme to validate hashes of data in images is calculated correctly
DFM-1076	Testing programme to validate hashes of metadata in images is calculated correctly
DFM-1077	Ensure potential secondary locations for stored message content are reviewed.
DFM-1078	Use of multiple carving tools and comparing results
DFM-1079	Analyse file content to detect incompatibility between the content and the recovered file system metadata
DFM-1080	Use a hashset of known files to detect that recovered content does not match the expected file content
DFM-1081	Check if recovered content matches with size in metadata e.g. file footer at expected location.
DFM-1082	Analyse file system to find any duplicate references to blocks that are referenced by the non-allocated file
DFM-1083	Analyse content for embedded timestamps to find that content is a newer file than indicated by metadata (beware of file tunneling)
DFM-1084	Test that the tool used expresses uncertainty in the classification of file recovery results
DFM-1085	Use of multiple tools to verify disk image hash
DFM-1086	Acquire the parts of memory with interconnected data first, before proceeding with a sequential acquisition.
DFM-1087	Acquire memory from outside of the target system for example using direct memory access (DMA) devices
DFM-1088	If applicable, leverage hardware virtualization utilities to add a hypervisor to the system, i.e., virtualize the original system. This allows to either freeze the system before the acquisition or, if the system should not be completely frozen, to copy pages before they are modified.
DFM-1089	Attempt physical disk repair
DFM-1090	Compare carved results against known files (e.g. from another source)
DFM-1091	Use a brute force attack instead (DFT-1034)
DFM-1092	Optimise dictionary
DFM-1093	Use mangling rules to generate variants of candidate passwords
DFM-1094	Include contextual information when assembling the dictionary
DFM-1095	Order dictionary to test the most likely candidates first
DFM-1096	Apply additional resources to dictionary attack
DFM-1097	Attempt to obtain password/passcode from the device owner (DFT-1037)
DFM-1098	Optimise the brute force search space
DFM-1099	Use a dictionary attack instead (DFT-1035)
DFM-1100	Apply additional resources to brute force attack
DFM-1101	Apply time offset to timestamp (DFT-1153)
DFM-1102	Apply techniques to read remapped sectors
DFM-1103	Check that analysis of timestamp accuracy on which event reconstruction is based has been performed
DFM-1104	Testing of report generation functionality that all intended bookmarks are included
DFM-1105	Manual verification that all intended bookmarks are included in the generated report.
DFM-1106	Testing that generated reports correctly represent/render all expected file types
DFM-1107	Manual verification that all bookmarked items in the report are correctly rendered/represented.
DFM-1108	Preserve hash in secure location of the generated report so intentional or unintentional modifications can be detected.
DFM-1109	Testing that tool(s) identify file types correctly
DFM-1110	Manual review of files classified as unknown
DFM-1111	Use of multiple tools to classify file types
DFM-1112	Use of AI to classify files in addition to standard programmatic methods
DFM-1113	Use mobile exploit to gain privileged access (DFT-1040)
DFM-1114	Clear use of language around mobile file system extractions, making the limitations clear and differentiating from a full disk image
DFM-1115	Attempt to brute force user PIN (potentially on device) (DFT-1034)
DFM-1116	Attempt to dictionary attack user PIN (potentially on device) (DFT-1035)
DFM-1117	Attempt to obtain user PIN from user (DFT-1037)
DFM-1118	Recover appropriate database table joins from source application source code
DFM-1119	Recover appropriate database table joins from source application reverse engineering
DFM-1120	Recover appropriate database table joins from source application developer documentation
DFM-1121	Infer appropriate table joins from extensive experimentation with known ground-truth data (DFT-1090)
DFM-1122	Apply non-allocated record recovery to database file(s)
DFM-1123	Apply system-wide record recovery for non-allocated database record data structures
DFM-1124	Examine database contents with and without Write Ahead Log (WAL) files applied
DFM-1125	Examine database journal files
DFM-1126	Use forensic bootable environment to gain access to internal media (DFT-1113)
DFM-1127	Use a similar system to test steps required to interrupt the normal boot process and boot from Trusted Bootable Environment
DFM-1128	Use a Trusted Bootable Environment that is permitted to boot
DFM-1129	Use USB flashdrive version if a CD version is not permitted to boot
DFM-1130	Disable Secureboot in BIOS to permit bootable environment to load (risks wiping FDE key, requiring ADK).
DFM-1131	Use a Trusted Bootable Environment that supports accessing the internal disk
DFM-1132	Use a Trusted Bootable Environment that supports decryption of the internal disk
DFM-1133	Acquire the encrypted contents of the internal disk and decrypt the copy within a virtualized environment
DFM-1134	Testing that connected devices are detected.
DFM-1135	Testing that correct metadata/status of connected devices is extracted
DFM-1136	Testing of archive format parsing
DFM-1137	Review of logs for any file extraction errors
DFM-1138	Testing file name/path pattern matching engine
DFM-1139	Use automated software monitoring to detect app artefact changes (DFT-1119)
DFM-1140	Use automation framework to emulate user actions to generate test data
DFM-1141	Careful review of case brief for case-specific keyword list generation
DFM-1142	Review of case-specific keyword list by case officer
DFM-1143	Use live logical keyword search (DFT-1127)
DFM-1144	Use indexed keyword search (DFT-1124)
DFM-1145	Apply OCR to files and search or index resulting text
DFM-1146	Ensure keyword indexing settings capture text encodings required during indexing
DFM-1147	Ensure keyword indexing settings configure text substring handling as required during indexing
DFM-1148	Ensure keyword indexing settings configure case sensitivity for indexing as required
DFM-1149	Ensure keyword indexing settings mean that decompression will be applied as required during indexing
DFM-1150	Ensure keyword indexing settings mean that file formats will be decoded as required during indexing
DFM-1151	Check keyword results are part of allocated file, or if not perform detailed analysis to determine if the association between keyword results and file is valid
DFM-1152	Peer review of case-specific keyword list created
DFM-1153	Index data in the case and perform iterative keyword searching using the index (DFT-1124)
DFM-1154	Testing for live message recovery from AI companion app
DFM-1155	Testing for deleted message recovery from AI companion app
DFM-1156	Testing that message sender and recipient extraction are correct
DFM-1157	Ensure messages are viewed in the context of the message thread
DFM-1158	Testing for live picture message recovery from AI companion app
DFM-1159	Testing for deleted picture message recovery from AI companion app
DFM-1160	Testing that picture message sender and recipient extraction are correct
DFM-1161	Testing of live call record recovery from AI companion app
DFM-1162	Testing of deleted call record recovery from AI companion app
DFM-1163	Testing that call record caller and recipient extraction are correct
DFM-1164	Testing of account details recovery from AI companion app
DFM-1165	Ensure data collection prior to any interaction with app
DFM-1166	Remove all network connectivity from device
DFM-1167	Check time of account access is prior to device seizure time
DFM-1168	Request logs of access times from service provider
DFM-1169	Testing of app settings recovery from AI companion app
DFM-1170	Experiments with test device to view possible settings of forensic value
DFM-1171	Testing of the recovery of companion AI bot settings
DFM-1172	Also examine any older versions of the logs from backups
DFM-1173	Check logging settings so the bounds of logging are known
DFM-1174	Check logging settings to determine expected behaviour
DFM-1175	Ensure any available archive logs are also examined
DFM-1176	Ensure log entry type interpretation applies for the software version being examined
DFM-1177	Ensure resolution or limitations of logfile timestamps are understood
DFM-1178	Ensure timezone handling method for logfile timestamps is understood
DFM-1179	If timestamp is local time, ensure that the system timezone was applicable at time of log entry generation
DFM-1180	Testing correct extraction of logfile entry timestamps
DFM-1181	Testing logfile parsing capability
DFM-1182	Testing of correct log entry type extraction
DFM-1187	Ensure browser cache data is also considered  (DFT-1138)
DFM-1188	Ensure all profiles of the web browser are considered (DFT-1144)
DFM-1189	Conduct experiments to determine if content from the page in question is cached only when viewed in the browser
DFM-1190	Ensure that the context of recovered URLs is considered during event reconstruction
DFM-1191	Ensure that profile configuration is examined rather than just folders within the standard profile folder (DFT-1143)
DFM-1192	Examine browser configuration to determine history retention settings (DFT-1143)
DFM-1193	Obtain older versions of browser history files from backups or from file system versioning features
DFM-1194	Consider carefully page titles and other details associated with older web history visits when details are recovered using SQL join queries.
DFM-1195	Also examine browser cache to confirm details about an older web visit when details are recovered using SQL join queries. (DFT-1138)
DFM-1196	Check if file being recovered is smaller than a block
DFM-1197	Check if file being recovered is resident (applicable on some file systems)
DFM-1198	Check if file system and operating system make use of an 'allocated but unwritten' value e.g. VDL.
DFM-1199	Check all relevant file size metadata values when recovering file content
DFM-1200	Ensure that inconsistencies between allocated data size and data written size are clearly flagged.
DFM-1203	Use indexed keyword search over broader content of the data source (DFT-1124)
DFM-1204	Use live keyword search over broader content of the data source (DFT-1125)
DFM-1205	Use wordlist generator with case data
DFM-1206	Ensure that tools used clearly separate fact from interpretation
DFM-1207	Ensure training is in place for tool operators to separate fact from interpretation within the tool used
DFM-1208	Review critical findings from tools to ensure they are facts, or if they are an automated interpretation, ensure that any uncertainty is considered
DFM-1209	Ensure that tools used present the uncertainty associated with automated interpretation of data
DFM-1210	Use a forensic image format with internal integrity and continuity metadata
DFM-1211	Test the parsing of split forensic images
DFM-1212	Test the parsing of split forensic images with the maximum number of segments possible
DFM-1213	Test the parsing of split forensic images with missing segments
DFM-1214	Ensure forensic tool UI clearly warns that there are problems while parsing a split forensic image file
DFM-1215	Test the parsing of split forensic images with a corrupt segment
DFM-1216	Check that the assumption is valid that the specific local/external timestamp pair should be correlated
DFM-1217	Consider multiple time anchors and check if timestamps from multiple external time sources agree
DFM-1218	Ensure that tools and processes take into account all current knowledge on sources of local/external timestamp pairs (time anchors)
DFM-1219	Manual verification of timestamp decoding within a time anchor
DFM-1220	Periodically keep records of time offsets of significant external servers (DFT-1110)
DFM-1221	Testing of timestamp decoding within a time anchor
DFM-1222	Testing to ensure that tooling is able to extract local/external timestamp pairs (time anchors)
DFM-1223	Apply time zone based offsets only to UTC stored timestamps
DFM-1224	Check for location artifacts to infer the time zone at a specific moment
DFM-1225	Estimate clock offset at a specific point in time using time anchoring (DFT-1134)
DFM-1226	Testing to determine whether a timestamp is in UTC or local time
DFM-1227	Search for indicators of clock tampering (DFT-1129)
DFM-1228	Record system clock offset (DFT-1111)
DFM-1229	Determine last timezone used on system
DFM-1230	Ensure that daylight savings offsets that are applied to timestamps are correct
DFM-1231	Make use of 'paired searching'
DFM-1232	Adopt a systematic search pattern
DFM-1233	Test data extraction methods against reference data with known timestamps
DFM-1234	Exploit device to facilitate password/pincode attacks (DFT-1040)
DFM-1235	Attempt to obtain password/pincode with brute force attacks (DFT-1034)
DFM-1236	Attempt to obtain password/pincode with dictionary attacks (DFT-1035)
DFM-1237	Ensure that archive format used can handle sufficiently large files
DFM-1238	Configure device to enable required service (DFT-1158)
DFM-1239	Obtain possible passwords/PIN codes from other devices with limited security (DFT-1033)
DFM-1241	Avoid direct connection to media and use hardware write blocker instead (DFT-1012)
